"U0028","Vehicle Communication Bus A"
"U0143","Lost Communication With Body Control Module 'C'"
"P2065","Fuel Level Sensor 'B' Circuit"
"P0470","Exhaust Pressure Sensor"
"P0A03","Motor Electronics Coolant Temperature Sensor Circuit High"
"P0691","Fan 1 Control Circuit Low"
"P0242","Turbo/Super Charger Boost Sensor 'B' Circuit High"
"P3484","Cylinder 11 Deactivation/lntake Valve Control Circuit High"
"P0253","Injection Pump Fuel Metering Control 'A' Low (Cam/Rotor/Injector)"
"P0340","Camshaft Position Sensor 'A' Circuit"
"P0301","Cylinder 1 Misfire Detected"
"P0759","Shift Solenoid 'B' Intermittent"
"P2337","Cylinder #2 Above Knock Threshold"
"P0738","TCM Engine Speed Output Circuit Low"
"P2122","Throttle/Pedal Position Sensor/Switch 'D' Circuit Low Input"
"P0694","Fan 2 Control Circuit High"
"P0786","Shift/Timing Solenoid Range/Performance"
"P0225","Throttle/Pedal Position Sensor/Switch 'C' Circuit"
"P2258","Secondary Air Injection System Control 'A' Circuit High"
"P2235","O2 Sensor Signal Circuit Shorted to Heater Circuit"
"P0A2B","Drive Motor 'A' Temperature Sensor Circuit Range/Performance"
"P0797","Pressure Control Solenoid 'C' Stuck On"
"P0538","A/C Evaporator Temperature Sensor Circuit High"
"U0408","Invalid Data Received From Throttle Actuator Control Module"
"P0586","Cruise Control Vent Control Circuit/Open"
"P3419","Cylinder 3 Deactivation/lntake Valve Control Circuit Low"
"P0271","Cylinder 4 Injector Circuit High"
"P0AA6","Hybrid Battery Voltage System Isolation Fault"
"P0073","Ambient Air Temperature Sensor Circuit High"
"P0597","Thermostat Heater Control Circuit/Open"
"P3427","Cylinder 4 Deactivation/lntake Valve Control Circuit Low"
"P0614","ECM / TCM Incompatible"
"P2078","Intake Manifold Tuning (IMT) Valve Position Sensor/Switch Circuit High"
"U0187","Lost Communication With Digital Disc Player/Changer Module 'A'"
"P0717","Input/Turbine Speed Sensor 'A' Circuit No Signal"
"P2154","Fuel Injector Group 'C' Supply Voltage Circuit High"
"P0626","Generator Field/F Terminal Circuit High"
"P3469","Cylinder 9 Exhaust Valve Control Circuit/Open"
"P0450","Evaporative Emission System Pressure Sensor/Switch"
"P0954","Auto Shift Manual Control Circuit Intermittent"
"P0517","Battery Temperature Sensor Circuit High"
"P3404","Cylinder 1 Deactivation/lntake Valve Control Circuit High"
"P0664","Intake Manifold Tuning Valve Control Circuit Low"
"P0996","Transmission Fluid Pressure Sensor/Switch 'F' Circuit Intermittent"
"P2056","Reductant Injector Circuit/Open"
"P0767","Shift Solenoid 'D' Stuck On"
"P0706","Transmission Range Sensor Circuit Range/Performance"
"P0A01","Motor Electronics Coolant Temperature Sensor Circuit Range/Performance"
"P0A27","Battery Power Off Circuit"
"P0633","Immobilizer Key Not Programmed - ECM/PCM"
"P0567","Cruise Control Resume Signal"
"P2232","O2 Sensor Signal Circuit Shorted to Heater Circuit"
"P0042","HO2S Heater Control Circuit"
"P0193","Fuel Rail Pressure Sensor Circuit High"
"P0506","Idle Air Control System RPM Lower Than Expected"
"P0916","Gear Shift Position Circuit Low"
"P0320","Ignition/Distributor Engine Speed Input Circuit"
"U0144","Lost Communication With Body Control Module 'D'"
"P2638","Torque Management Feedback Signal 'A' Range/Performance"
"P0251","Injection Pump Fuel Metering Control 'A' (Cam/Rotor/Injector)"
"P0053","HO2S Heater Resistance"
"P2198","O2 Sensor Signal Stuck Rich"
"P3037","Battery Block 27 Becomes Weak"
"U0214","Lost Communication With Remote Function Actuation"
"P0893","Multiple Gears Engaged"
"P2344","Cylinder #9 Above Knock Threshold"
"P0790","Normal/Performance Switch Circuit"
"U0107","Lost Communication With Throttle Actuator Control Module"
"P0025","B' Camshaft Position - Timing Over-Retarded"
"P2166","Throttle/Pedal Position Sensor 'D' Maximum Stop Performance"
"U0226","Lost Communication With 'Door Window Motor E'"
"P2422","Evaporative Emission System Vent Valve Stuck Closed"
"P0672","Cylinder 2 Glow Plug Circuit"
"P2307","Ignition Coil 'C' Primary Control Circuit High"
"P0966","Pressure Control Solenoid 'B' Control Circuit Low"
"P0655","Engine Hot Lamp Output Control Circuit"
"P0071","Ambient Air Temperature Sensor Range/Performance"
"P2118","Throttle Actuator Control Motor Current Range/Performance"
"P0296","Cylinder 12 Contribution/Balance"
"P2513","Event Data Recorder Request Circuit Low"
"P0813","Reverse Output Circuit"
"U0180","Lost Communication With Automatic Lighting Control Module"
"P2617","Crankshaft Position Signal Output Circuit/Open"
"P0710","Transmission Fluid Temperature Sensor 'A' Circuit"
"P2277","O2 Sensor Signal Stuck Rich"
"P0146","O2 Sensor Circuit No Activity Detected"
"P0339","Crankshaft Position Sensor 'A' Circuit Intermittent"
"P0AC1","Hybrid Battery Pack Current Sensor Circuit Low"
"P0216","Injector/Injection Timing Control Circuit"
"P2563","Turbocharger Boost Control Position Sensor Circuit Range/Performance"
"P2085","Exhaust Gas Temperature Sensor Circuit Intermittent"
"P0863","TCM Communication Circuit"
"U0302","Software Incompatibility with Transmission Control Module"
"P2667","Fuel Shutoff Valve 'B' Control Circuit High"
"U0048","Vehicle Communication Bus C (Open)"
"P2606","Intake Air Heater 'B' Circuit Range/Performance"
"P0846","Transmission Fluid Pressure Sensor/Switch 'B' Circuit Range/Performance"
"P0A20","Motor Torque Sensor Circuit High"
"U0094","Reserved by J2012"
"P3221","Generator Inverter Temperature Sensor Circuit Range/Performance"
"P2321","Ignition Coil 'H' Primary Control Circuit Low"
"P0631","VIN Not Programmed or Incompatible - TCM"
"U0423","Invalid Data Received From Instrument Panel Control Module"
"P0191","Fuel Rail Pressure Sensor Circuit Range/Performance"
"P2032","Exhaust Gas Temperature Sensor Circuit Low"
"P0266","Cylinder 2 Contribution/Balance"
"P0743","Torque Converter Clutch Circuit Electrical"
"U0124","Lost Communication With Lateral Acceleration Sensor Module"
"P0493","Fan Overspeed"
"P0543","Intake Air Heater 'A' Circuit Open"
"P0389","Crankshaft Position Sensor 'B' Circuit Intermittent"
"P3044","Battery Block 34 Becomes Weak"
"P0A4D","Generator Position Sensor Circuit Low"
"U0100","Lost Communication With ECM/PCM A"
"U0014","Medium Speed CAN Communication Bus (High)"
"P0891","TCM Power Relay Sense Circuit High"
"P2748","Intermediate Shaft Speed Sensor 'B' Circuit Intermittent"
"P2300","Ignition Coil 'A' Primary Control Circuit Low"
"P2548","Torque Management Request Input Signal 'B'"
"U0026","Low Speed CAN Communication Bus (High)"
"P0111","Intake Air Temperature Sensor 1 Circuit Range/Performance"
"P2794","Gear Shift Direction Circuit Low"
"P0054","HO2S Heater Resistance"
"P0537","A/C Evaporator Temperature Sensor Circuit Low"
"P0979","Shift Solenoid 'C' Control Circuit Low"
"P0413","Secondary Air Injection System Switching Valve 'A' Circuit Open"
"P2005","Intake Manifold Runner Control Stuck Open"
"U0064","Vehicle Communication Bus E"
"P0096","Intake Air Temperature Sensor 2 Circuit Range/Performance"
"P4014","Battery Block 14 Overtemperature"
"P0811","Excessive Clutch Slippage"
"P3489","Cylinder 12 Deactivation/lntake Valve Control Circuit/Open"
"P2270","O2 Sensor Signal Stuck Lean"
"P0114","Intake Air Temperature Sensor 1 Circuit Intermittent"
"P2418","Evaporative Emission System Switching Valve Control Circuit / Open"
"P4026","Battery Block 26 Overtemperature"
"P2077","Intake Manifold Tuning (IMT) Valve Position Sensor/Switch Circuit Low"
"P2714","Pressure Control Solenoid 'D' Performance or Stuck Off"
"P0126","Insufficient Coolant Temperature for Stable Operation"
"P0684","Glow Plug Control Module to PCM Communication Circuit Range/Performance"
"P0699","Sensor Reference Voltage 'C' Circuit High"
"P2726","Pressure Control Solenoid 'E' Intermittent"
"P0463","Fuel Level Sensor 'A' Circuit High"
